CALLERS,TRUTH_COUNT,DEL_truth_COUNT,INS_truth_count,TEST_COUNT,DEL_test_COUNT,INS_test_COUNT,DEL_tp,DEL_fp,DEL_fn,DEL_recall,DEL_precision,DEL_F1,INS_tp,INS_fp,INS_fn,INS_recall,INS_precision,INS_F1
cnvpytor,12674,5424,7250,442,435,0,167,268,5257,3.08,38.39,0.06,0,0,0,0.0,0.0,0.0
delly,12674,5424,7250,4872,3651,155,2583,1068,2841,47.62,70.75,0.57,142,13,7108,1.96,91.61,0.04
dragen,12674,5424,7250,8648,4711,3746,3393,1318,2031,62.56,72.02,0.67,2658,1088,4592,36.66,70.96,0.48
gridss,12674,5424,7250,3420,2624,90,2269,355,3155,41.83,86.47,0.56,85,5,7165,1.17,94.44,0.02
lumpy,12674,5424,7250,1754,1152,0,634,518,4790,11.69,55.03,0.19,0,0,0,0.0,0.0,0.0
manta,12674,5424,7250,6174,3841,1800,2962,879,2462,54.61,77.12,0.64,1387,413,5863,19.13,77.06,0.31
svaba,12674,5424,7250,3555,1828,0,1510,318,3914,27.84,82.6,0.42,0,0,0,0.0,0.0,0.0
