CALLERS,TRUTH_COUNT,DEL_truth_COUNT,INS_truth_count,TEST_COUNT,DEL_test_COUNT,INS_test_COUNT,DEL_tp,DEL_fp,DEL_fn,DEL_recall,DEL_precision,DEL_F1,INS_tp,INS_fp,INS_fn,INS_recall,INS_precision,INS_F1
annotated_dragen,12674,5424,7250,8647,4711,3746,3393,1318,2031,62.56,72.02,0.67,2658,1088,4592,36.66,70.96,0.48
sigsv_mdg,12674,5424,7250,3570,2989,162,2520,469,2904,46.46,84.31,0.6,150,12,7100,2.07,92.59,0.04
sigsv_nocnv,12674,5424,7250,4402,3279,162,2603,676,2821,47.99,79.38,0.6,150,12,7100,2.07,92.59,0.04
sigsv0_mdg,12674,5424,7250,8326,4905,1799,3345,1560,2079,61.67,68.2,0.65,1387,412,5863,19.13,77.1,0.31
sigsv0_nocnv,12674,5424,7250,9654,5111,1799,3371,1740,2053,62.15,65.96,0.64,1387,412,5863,19.13,77.1,0.31
